carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,3203.453026315033
0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,172.39224566128587
0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1123.7434604274445
1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,6970.444051642189
2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,16495.010679082847
2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,13640.35038224184
1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,5140.846664934275
0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2865.837790998759
0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,2333.047221924214
0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,4907.858994388929
1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,6184.1064795257025
0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,956.1025917633056
0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1657.2194750408212
0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,914.2462978703729
0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1761.0542043678383
0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1533.647998275505
0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,-1843.883884730983
2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,19449.503038101328
0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4550.886878985939
0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,1780.8566262714853
1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,4428.368258210025
0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,537.4858379280845
1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,4710.466289750082
0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,5280.532530025177
1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,7782.0250212542105
0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,1329.211657493675
0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,3023.750101523214
0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,1892.8198418439729
0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,2387.6518337682633
0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,540.1872671935766
1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,5414.676873257087
0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,1353.548256922632
0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,4075.292340145698
0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,4056.539153807413
0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,567.6656254553723
1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,6769.854368679915
0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,2061.1086779476177
1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,6113.814162758261
0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,343.44457594097184
0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,-866.0867074207558
0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,1548.7460284647045
0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,476.3347986048584
0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,-91.0885773058967
0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,543.7938668874945
1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,9889.018193666085
1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,6380.872938682387
